Comment;Sentimento;texto_limpo;y;User Verified;Thumbnail;Comment ID;Profile URL;Comment URL;Comment_limpo;Predicao;Unnamed: 0;Unnamed: 1;Name;Username;Profile ID;Date;Likes;Classe;Validado
👏👏👏😍😍;Positivo;aplauso aplauso aplauso encantado encantado;1;no;https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/269372127_960273241250110_2844426620592070376_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=F3-JZqQZmeYQ7kNvgF9tCTd&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEWNRvUpZx6KtZ8bbu2xqEvxKdY8IbHgUbOwPh8EVXFPA&oe=67F44B12&_nc_sid=0985b0;18014471285704888;https://www.instagram.com/vevel2316;https://www.instagram.com/p/DH88xCaR1oj/c/18014471285704888;aplauso aplauso aplauso encantado encantado;1.0;;;;;;;;;
❤️❤️❤️❤️❤️❤️😍❤️❤️❤️❤️😮😮😮;Positivo;amor amor amor amor amor amor encantado amor amor amor amor;1;no;https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/471349886_613933010976307_3390658097095292543_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=AkRgAAztFRoQ7kNvgF_JEc_&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYH8fEKzCNZ8sXqrn_PfkdaTFWdlKQZkrHeGKJUIEADkaQ&oe=67F44AAD&_nc_sid=0985b0;17865105429367233;https://www.instagram.com/khalifajeff_1;https://www.instagram.com/p/DH88xCaR1oj/c/17865105429367233;amor amor amor amor amor amor encantado amor amor amor amor;1.0;;;;;;;;;
3 2 1 action;Neutro;3 2 1 action;0;no;https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/343475921_1303476163710846_998750954655435531_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=EedtfuJTP-kQ7kNvgGboMcC&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEzUnkd7quMaOeaukOqOZZryIPyASbAQlhhG6q7HPgcEg&oe=67F474DD&_nc_sid=0985b0;17857184064403409;https://www.instagram.com/inkstudioblue;https://www.instagram.com/p/DH88xCaR1oj/c/17857184064403409;3 2 1 action;0.0;;;;;;;;;
🧡😘;Positivo;beijo;1;no;https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0;18042375686154640;https://www.instagram.com/naturabroficial;https://www.instagram.com/p/DH88xCaR1oj/c/18042375686154640;beijo;0.0;;;;;;;;;
😍😍😍😍👏👏👏👏👏;Positivo;encantado encantado encantado encantado aplauso aplauso aplauso aplauso aplauso;1;no;https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/238672924_180019450761064_2890489107803174677_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=gY1G0gRRpTAQ7kNvgGpCAlx&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHjC5JLf6WVVr08T_DxxCo7wwo26FiWh8q6730PHOjECQ&oe=67F46CCF&_nc_sid=0985b0;17872868139321801;https://www.instagram.com/conceicao.carvalho.77377;https://www.instagram.com/p/DH88xCaR1oj/c/17872868139321801;encantado encantado encantado encantado aplauso aplauso aplauso aplauso aplauso;1.0;;;;;;;;;
Maravilhosaaaa! Ameiii;Positivo;maravilhosaa ameii;1;no;https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/429945321_1448073646104640_5930283730358765343_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=F3-d-qzgDl8Q7kNvgGvIXl0&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYFhTWktEzujbJ0LY0ZpZ7YmP5PY05eNRtwin41Tz3O4Ww&oe=67F46E47&_nc_sid=0985b0;17926352729934364;https://www.instagram.com/lidermichelelopes;https://www.instagram.com/p/DH88xCaR1oj/c/17926352729934364;maravilhosaa ameii;0.0;;;;;;;;;
Diva !!;Positivo;diva;1;no;https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/476144138_1122177529397178_2399901169649911383_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=D8OLIRW9q3MQ7kNvgFApx6N&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEIk_EwAJqTYVmLCf8Ff_WxDWRj9RevUkMQj1NNfC4AJg&oe=67F45E98&_nc_sid=0985b0;18378003682191656;https://www.instagram.com/edgar.rmonteiro;https://www.instagram.com/p/DH88xCaR1oj/c/18378003682191656;diva;0.0;;;;;;;;;
👏👏🧡😀😘😍😒🎨;Positivo;aplauso aplauso beijo encantado desapontado;1;no;https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/429761274_1454066355542465_6911764351566771513_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=yKLZzsxszu8Q7kNvgHhuT-C&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYHmAf9YqCEHbofj6hsQWhyGXgNSWeFIxPEGlKuaJJxOLg&oe=67F462F0&_nc_sid=0985b0;18274769389251325;https://www.instagram.com/helia.araujo.1297;https://www.instagram.com/p/DH88xCaR1oj/c/18274769389251325;aplauso aplauso beijo encantado desapontado;1.0;;;;;;;;;
Iza, Sheron Menezes, Erika Januza ... faltou a @taisdeverdade pra completar esse time de Rainhas pretas 🫰🏽😍;Positivo;iza sheron menezes erika januza  faltou a  pra completar esse time de rainhas pretas encantado;1;no;https://scontent-fra3-1.cdninstagram.com/v/t51.2885-19/472415503_896611575642843_8811046074447384264_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=vOddXJVd4HoQ7kNvgFchaqE&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYE5MB1ur_y10tFA_N5yiF_4YE809gTwYNH86BF-DMK8VA&oe=67F450EC&_nc_sid=0985b0;18074614666835480;https://www.instagram.com/alexbatistadesantana;https://www.instagram.com/p/DH88xCaR1oj/c/18074614666835480;iza sheron menezes erika januza  faltou a  pra completar esse time de rainhas pretas encantado;1.0;;;;;;;;;
A diva exala realeza 👸🏾🤎🤎;Positivo;a diva exala realeza;1;no;https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/298848872_368783235457876_4486434120084077828_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=jNGOHSNhSGoQ7kNvgFgq1vk&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYH0JzFjmxQxzaZe6vR16PUIhVEd_MHGte1mUZY1laIKjQ&oe=67F479CF&_nc_sid=0985b0;17919256547964235;https://www.instagram.com/emilia_djamila;https://www.instagram.com/p/DH88xCaR1oj/c/17919256547964235;a diva exala realeza;0.0;;;;;;;;;
