Comment,Sentimento,texto_limpo,y,User Verified,Thumbnail,Comment ID,Profile URL,Comment URL,Comment_limpo,Predicao,Unnamed: 0,Unnamed: 1,Name,Username,Profile ID,Date,Likes
😍😍,Positivo,encantado encantado,1,no,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/456604755_1280169220033020_4386618873906349013_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=-BCVaFUr3hcQ7kNvgFfgR1g&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGlWGQE1nBq8f3WdTU0HwP4ORRUMPPIC-ky_OK5O5jRPQ&oe=67F45421&_nc_sid=0985b0,18060541088041565,https://www.instagram.com/michelineramalho,https://www.instagram.com/p/DH88xCaR1oj/c/18060541088041565,encantado encantado,1.0,,,,,,,
😍😍😍😍,Positivo,encantado encantado encantado encantado,1,no,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/472959579_1521716798466892_2658266384683906639_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=tn7-GlbmJwAQ7kNvgECYfgV&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYE6NcUwuWXNnKMj5O5xuwt0XO0C4HdOxeF9GN2pBlGDpQ&oe=67F4739F&_nc_sid=0985b0,18335728384088405,https://www.instagram.com/portal_cunha,https://www.instagram.com/p/DH88xCaR1oj/c/18335728384088405,encantado encantado encantado encantado,1.0,,,,,,,
👏👏👏😍😍,Positivo,aplauso aplauso aplauso encantado encantado,1,no,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/269372127_960273241250110_2844426620592070376_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=110&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=F3-JZqQZmeYQ7kNvgF9tCTd&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEWNRvUpZx6KtZ8bbu2xqEvxKdY8IbHgUbOwPh8EVXFPA&oe=67F44B12&_nc_sid=0985b0,18014471285704888,https://www.instagram.com/vevel2316,https://www.instagram.com/p/DH88xCaR1oj/c/18014471285704888,aplauso aplauso aplauso encantado encantado,1.0,,,,,,,
❤️❤️❤️❤️❤️❤️😍❤️❤️❤️❤️😮😮😮,Positivo,amor amor amor amor amor amor encantado amor amor amor amor,1,no,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/471349886_613933010976307_3390658097095292543_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=AkRgAAztFRoQ7kNvgF_JEc_&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYH8fEKzCNZ8sXqrn_PfkdaTFWdlKQZkrHeGKJUIEADkaQ&oe=67F44AAD&_nc_sid=0985b0,17865105429367233,https://www.instagram.com/khalifajeff_1,https://www.instagram.com/p/DH88xCaR1oj/c/17865105429367233,amor amor amor amor amor amor encantado amor amor amor amor,1.0,,,,,,,
😍😍😍😍,Positivo,encantado encantado encantado encantado,1,no,https://scontent-fra3-2.cdninstagram.com/v/t51.2885-19/461472669_8833152150028792_1583596553297588461_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra3-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=8RUPP6I89osQ7kNvgFq5Jhm&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYG437frdDuC7mJzDjvPPxJjq32u9IhAISdu4fkrQ30haw&oe=67F45F2C&_nc_sid=0985b0,17876356863201008,https://www.instagram.com/victorpach3co,https://www.instagram.com/p/DH88xCaR1oj/c/17876356863201008,encantado encantado encantado encantado,1.0,,,,,,,
3 2 1 action,Neutro,3 2 1 action,0,no,https://scontent-fra5-2.cdninstagram.com/v/t51.2885-19/343475921_1303476163710846_998750954655435531_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QFLtoUVHP3-qksqBb2p6a6Pq8K6c6xqZx6psT3tJ5TjlrZzc9z4uaVT1yMUm6jYrN4&_nc_ohc=EedtfuJTP-kQ7kNvgGboMcC&_nc_gid=d2QQ9sAYPSpMpCTSzJ3IDw&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYEzUnkd7quMaOeaukOqOZZryIPyASbAQlhhG6q7HPgcEg&oe=67F474DD&_nc_sid=0985b0,17857184064403409,https://www.instagram.com/inkstudioblue,https://www.instagram.com/p/DH88xCaR1oj/c/17857184064403409,3 2 1 action,0.0,,,,,,,
🧡😘,Positivo,beijo,1,no,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0,18042375686154640,https://www.instagram.com/naturabroficial,https://www.instagram.com/p/DH88xCaR1oj/c/18042375686154640,beijo,0.0,,,,,,,
🧡😍,Positivo,encantado,1,no,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0,18036178616632857,https://www.instagram.com/naturabroficial,https://www.instagram.com/p/DH88xCaR1oj/c/18036178616632857,encantado,1.0,,,,,,,
🧡😍,Positivo,encantado,1,no,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0,18089365150523634,https://www.instagram.com/naturabroficial,https://www.instagram.com/p/DH88xCaR1oj/c/18089365150523634,encantado,1.0,,,,,,,
🧡😍,Positivo,encantado,1,no,https://scontent-fra5-1.cdninstagram.com/v/t51.2885-19/357813327_596644779123522_5730223761893842663_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-fra5-1.cdninstagram.com&_nc_cat=1&_nc_oc=Q6cZ2QG1de6OT6Dvr7l8M2EQgW9HayXkCHq9mwGstPCZaDUWVgsFUArCpihFqc3z3h4_Leo&_nc_ohc=N7VLpVkPrzoQ7kNvgEMgDCh&_nc_gid=S5-LtRZBcYlVRhbG1pwncA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AYGXUs8gtFt-JxLHteZenn6SSU7CZvW-1XRLPzQECuRWLA&oe=67F460DE&_nc_sid=0985b0,17876331873202483,https://www.instagram.com/naturabroficial,https://www.instagram.com/p/DH88xCaR1oj/c/17876331873202483,encantado,1.0,,,,,,,
